query,reference_id
수부지인데 T존은 매트하고 볼은 촉촉하게 발리는 쿠션이 있나요?,CS-319
여름뮤트 톤에 어울리는 쿠션 호수 추천해주세요.,CS-320
여름 쿠션 가볍게 바를 거 찾는데 디올이랑 헤라 중 뭐가 나아요?,CS-321
여름 쿠션으로 워터프루프 타입이랑 일반 타입 중에 뭐가 더 지속력이 좋은가요?,CS-322
올아워 파운데이션 사용감 어떤가요? 커버력 괜찮은가요?,CS-323
올아워 파운데이션 색상 어떤 거 골라야 하나요?,CS-324
봄웜 톤에 어울리는 쿠션 호수 추천해주세요.,CS-325
자외선 차단 되는 쿠션 추천해주세요. 여름에 쓸 거예요.,CS-326
가을웜 톤에 어울리는 쿠션 호수 추천해주세요.,CS-327
지성용 쿠션 중에 커버력까지 잡아주는 거 뭔가요?,CS-328
지성 쿠션 중에 유분 컨트롤이 가장 잘 되는 제품은 뭔가요?,CS-329
가을뮤트 톤에 어울리는 쿠션 호수 추천해주세요.,CS-330
쿠션 지속력을 높이려면 세팅 스프레이를 같이 써야 하나요?,CS-331
지속력 좋다는 명품 쿠션끼리 비교하면 뭐가 나은가요?,CS-332
촉촉한 쿠션 중에 커버력도 괜찮은 거 뭔가요?,CS-333
촉촉한 쿠션 추천해주세요. 무너짐 적은 걸로요.,CS-334
디올 쿠션 21호와 입생로랑 쿠션 21호 비교해주세요.,CS-335
커버력 좋으면서 피부에 부담 없는 쿠션이 있나요? 성분도 순한 걸로 찾고 있어요.,CS-336
헤라 쿠션 21호와 입생로랑 쿠션 21호 비교해주세요.,CS-337
커버력 좋은 쿠션 중에서 가성비까지 좋은 제품을 추천해주세요.,CS-338
쿠션 리필 교체 주기가 보통 몇 개월이인가요?,CS-339
쿠션 리필이랑 본품 세트 중에 뭐가 더 이득이인가요?,CS-340
수정화장용 쿠션 추천해주세요.,CS-341
쿠션 리필 교체 주기가 보통 몇 개월인가요? 매일 쓰는 기준이에요.,CS-342
쿠션 호수별 차이가 뭔가요? 21호 23호 어떻게 골라?,CS-343
수정화장용 쿠션이랑 그냥 메이크업용 쿠션 다르게 써야 하나요?,CS-344
쿠션 고를 때 피부타입별로 뭘 봐야 하나요?,CS-345
쿠션 인기 순위 보면 로드샵이랑 백화점 브랜드가 섞여 있던데 실제 성능 차이가 많이 나나요?,CS-346
쿠션 추천해주세요. 3만원대에서 괜찮은 걸로요.,CS-347
쿠션 처음 사는데 온라인이랑 매장 중에 어디서 사는 게 나은가요?,CS-348
쿠션파운데이션 순위 명품이랑 로드샵 따로 알려주세요.,CS-349
쿠션파운데이션 순위 1위가 뭔가요? 그거 사면 되나요?,CS-350
쿠션이랑 파운데이션 커버력 차이 많이 나요?,CS-351
쿠션이랑 리퀴드 파운데이션 장단점 비교해주세요.,CS-352
쿠션파운데이션 지속력 좋은 거 순위 알려주세요.,CS-353
쿠션파운데이션 고르는 기준이 뭔가요? 피부타입별로 알려주세요.,CS-354
쿠션 퍼프 종류별 차이를 알려주세요. 실리콘이랑 일반 퍼프는 어떻게 다른가요?,CS-355
쿠션 퍼프 추천해주세요. 밀착력 좋은 걸로요.,CS-356
톤업 쿠션 너무 하얘지지 않는 자연스러운 거 있나요?,CS-357
톤업 쿠션 추천해주세요. 보정 효과 있으면서 자연스러운 걸로요.,CS-358
피부결 보정되는 쿠션이랑 블러 효과 쿠션 같은 건가요?,CS-359
피부결 커버 잘 되는 쿠션 추천해주세요.,CS-360
